"PC1","PC2","probability","gibbs_energy"
0.02,1.458,7.97442314005463e-05,11
0.02,1.45835159817352,8.7135611391006e-05,11
0.02,1.45870319634703,9.48056297748005e-05,11
0.02,1.45905479452055,0.000102710680772509,11
0.02,1.45940639269406,0.0001108002353396,11
0.02,1.45975799086758,0.000119017128245821,11
0.02,1.4601095890411,0.000127298013957998,11
0.02,1.46046118721461,0.000135573994334848,11
0.02,1.46081278538813,0.000143771416288907,11
0.02,1.46116438356164,0.00015181283231791,11
0.02,1.46151598173516,0.00015961811131467,11
0.02,1.46186757990868,0.000167105681519147,11
0.02,1.46221917808219,0.000174193882090339,11
0.02,1.46257077625571,0.000180802394775353,11
0.02,1.46292237442922,0.000186853722772328,11
0.02,1.46327397260274,0.000192274680349897,11
0.02,1.46362557077626,0.000196997854309443,11
0.02,1.46397716894977,0.000200962997136697,11
0.02,1.46432876712329,0.000204118311823494,11
0.02,1.4646803652968,0.000206421589931188,11
0.02,1.46503196347032,0.000207841167534272,11
0.02,1.46538356164384,0.000208356668176648,11
0.02,1.46573515981735,0.0002079595077739,11
0.02,1.46608675799087,0.000206653143313361,11
0.02,1.46643835616438,0.000204453054988253,11
0.02,1.4667899543379,0.000201386459749126,11
0.02,1.46714155251142,0.000197491762824378,11
0.02,1.46749315068493,0.000192817762190802,11
0.02,1.46784474885845,0.000187422628902987,11
0.02,1.46819634703196,0.000181372693274203,11
0.02,1.46854794520548,0.00017474107283604,11
0.02,1.468899543379,0.000167606182539946,11
0.02,1.46925114155251,0.000160050170619843,11
0.02,1.46960273972603,0.000152157324808912,11
0.02,1.46995433789954,0.000144012493176013,11
0.02,1.47030593607306,0.000135699561782291,11
0.02,1.47065753424658,0.000127300027797246,11
0.02,1.47100913242009,0.000118891701865179,11
0.02,1.47136073059361,0.000110547567640091,11
0.02,1.47171232876712,0.000102334819810365,11
0.02,1.47206392694064,9.43140949334826e-05,11
0.02,1.47241552511416,8.65389023163328e-05,11
0.02,1.47276712328767,7.90552553136637e-05,11
0.02,1.47311872146119,7.19014970487188e-05,11
0.02,1.4734703196347,6.51083089162334e-05,11
0.02,1.47382191780822,5.86988854852554e-05,11
0.02,1.47417351598174,5.26892556976321e-05,11
0.02,1.47452511415525,4.7088727617484e-05,11
0.02,1.47487671232877,4.19004324315382e-05,11
0.02,1.47522831050228,3.71219428829365e-05,11
0.02,1.4755799086758,3.27459417509767e-05,11
0.02,1.47593150684932,2.87609172422869e-05,11
0.02,1.47628310502283,2.5151864086837e-05,11
0.02,1.47663470319635,2.19009715745049e-05,11
0.02,1.47698630136986,1.8988282560185e-05,11
0.02,1.47733789954338,1.639231044962e-05,11
0.02,1.47768949771689,1.40906042085504e-05,11
0.02,1.47804109589041,1.20602543877212e-05,11
0.02,1.47839269406393,1.0278335920724e-05,11
0.02,1.47874429223744,8.72228594986752e-06,11
0.02,1.47909589041096,7.37021711086914e-06,11
0.02,1.47944748858447,6.20116852668605e-06,11
0.02,1.47979908675799,5.1952982120787e-06,11
0.02,1.48015068493151,4.33402167911904e-06,11
0.02,1.48050228310502,3.60010228024564e-06,11
0.02,1.48085388127854,2.97769926088304e-06,11
0.02,1.48120547945205,2.45237965698111e-06,11
0.02,1.48155707762557,2.01110010727807e-06,11
0.02,1.48190867579909,1.64216440018947e-06,11
